"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C6","CAP_0603_1uF","51.2mm","1.8mm","51.2mm","1.8mm","52.1mm","1.8mm","T","180.00","1uF"
"C5","CAP_0603_1uF","47.2mm","7.475mm","47.2mm","7.475mm","47.2mm","8.375mm","T","270.00","1uF"
"C7","CAP_0603_1uF","51.2mm","7.65mm","51.2mm","7.65mm","52.1mm","7.65mm","T","180.00","1uF"
"C3","CAP_0603","28.875mm","23.95mm","28.875mm","23.95mm","28.875mm","23.05mm","T","90.00","1n"
"C4","CAP_0603_1uF","47.175mm","3.475mm","47.175mm","3.475mm","47.175mm","2.575mm","T","90.00","1uF"
"C2","CAP_0603","27.075mm","23.875mm","27.075mm","23.875mm","27.075mm","22.975mm","T","90.00","100nF"
"D1","SOT-23","22.375mm","19.925mm","22.375mm","19.925mm","23.375mm","21.025mm","T","90.00","BAS19"
"Q1","[0301]BC846B_SOT23","10.65mm","23.85mm","10.65mm","23.85mm","11.65mm","22.9mm","T","180.00","Value"
"R9","RES_0603_220R","29.825mm","20.951mm","29.825mm","20.95mm","30.625mm","20.951mm","T","180.00","220R"
"R6","RES_0603_220R","33mm","19.474mm","33mm","19.475mm","32.2mm","19.474mm","T","360.00","220R"
"R8","RES_0603_220R","33.175mm","20.876mm","33.175mm","20.875mm","33.975mm","20.876mm","T","180.00","220R"
"R2","RES_0603_220R","10.7mm","20.851mm","10.7mm","20.85mm","11.5mm","20.851mm","T","180.00","220R"
"R4","RES_0603_220R","13.775mm","20.849mm","13.775mm","20.85mm","12.975mm","20.849mm","T","360.00","220R"
"R3","RES_0603_220R","18.7mm","20.701mm","18.7mm","20.7mm","19.5mm","20.701mm","T","180.00","220R"
"R1","RES_0603_220R","19.025mm","19.151mm","19.025mm","19.15mm","19.825mm","19.151mm","T","180.00","220R"
"R7","RES_0603_220R","29.875mm","19.501mm","29.875mm","19.5mm","30.675mm","19.501mm","T","180.00","220R"
"U3","SOT223","41.125mm","4.65mm","41.125mm","4.65mm","44.275mm","2.35mm","T","90.00","LD1117"
"U5","SOT-23","51.0981mm","4.7318mm","51.0981mm","4.7318mm","52.1981mm","3.7318mm","T","90.00","MCP1700T"
"U2","SO-8","31.625mm","15.025mm","31.625mm","15.025mm","33.53mm","17.565mm","T","270.00","NJM072"
"CN_IN","TE_282841-3","4.95mm","36.425mm","4.95mm","36.425mm","4.95mm","41.505mm","T","270.00","282841-3"
"CN_OUT","TE_282841-3","63.575mm","36.225mm","63.575mm","36.225mm","63.575mm","31.145mm","T","90.00","282841-3"
"J1","MINI-FLAT-4","16.475mm","23.675mm","16.475mm","23.675mm","13.225mm","24.945mm","T","270.00","LTV-356T"
"K1","RELAY_SRD-05VDC-SL-C","21.2mm","36mm","20.2mm","36mm","26.3mm","30mm","T","180.00","SRD-05VDC-SL-C"
"PS1","CONV_RAC01-12SGB","46.5mm","26.55mm","41.15mm","42.3mm","41.15mm","42.3mm","T","270.00","RAC01-12SGB"
"U4","XCVR_RA-01H","14.2mm","9.5mm","14.2mm","9.5mm","21.2mm","1.8179mm","B","90.00","RA-01H"
"U44","SOIC-28","14.5mm","9.5mm","14.5mm","9.5mm","22.755mm","14.58mm","T","270.00","PIC18F25Q10-I/SO"
"C1","CAP_0603","24.8mm","7.6mm","24.8mm","7.6mm","24.8mm","8.5mm","T","270.00","100nF"
"CN2","LPRS_SMA_RA","31.8mm","3.9mm","31.8mm","3.9mm","31.8mm","3.9mm","T","180.00","SMA RA"
"CN3","THT_Hdr_JST_XH_Fm_2x1_0.1_RA","64.88mm","1.625mm","66.15mm","1.625mm","66.15mm","1.625mm","T","270.00","Value"
"CN_DHT","THT_Hdr_JST_XH_Fm_4x1_0.1_RA","65.15mm","18.94mm","65.15mm","22.75mm","65.15mm","22.75mm","T","360.00","Value"
"D21","SOT-23","66.35mm","5.475mm","66.35mm","5.475mm","67.35mm","6.575mm","T","90.00","BAS19"
"D2","SMA","55.075mm","4.45mm","55.075mm","4.45mm","55.075mm","2.45mm","T","90.00","NRVTS245ESFT1G"
"LD21","LED_3X1.5","64.725mm","9mm","64.725mm","9mm","66.225mm","9mm","T","90.00","GREEN"
"Q3","SOT-23","58.4mm","7.45mm","58.4mm","7.45mm","57.4mm","6.35mm","T","0.00","IRLM2246"
"R23","RES_0603_220R","62.55mm","4.101mm","62.55mm","4.1mm","63.35mm","4.101mm","T","180.00","220R"
"R24","RES_0603_220R","62.5mm","5.576mm","62.5mm","5.575mm","63.3mm","5.576mm","T","180.00","220R"
"R5","RES_0603_220R","24.874mm","11.65mm","24.875mm","11.65mm","24.874mm","12.45mm","T","270.00","220R"
"Q2","[0301]BC846B_SOT23","22.4mm","23.8mm","22.4mm","23.8mm","21.4mm","24.75mm","T","360.00","Value"
"U1","SOIC127P600X175-8N","32.675mm","27.65mm","32.675mm","27.65mm","34.58mm","30.125mm","T","270.00","ACS712ELCTR-05B-T_1"
"C88","CAP_0603","25.3mm","2.8mm","25.3mm","2.8mm","26.2mm","2.8mm","T","180.00","100nF"
"R214","RES_0603_220R","57.326mm","2.825mm","57.325mm","2.825mm","57.326mm","2.025mm","T","90.00","220R"
"R240","RES_0603_220R","59.226mm","2.875mm","59.225mm","2.875mm","59.226mm","2.075mm","T","90.00","220R"
"CN?","AVX_10_in","2.1mm","9.2mm","2.6mm","5.2mm","2.6mm","5.2mm","T","0.00","AVX 5_10_in"

